CustomerID,Gender,InvoiceDate,InvoiceNumber,ProductID,Quantity,Price,Total,OrderStatus,Country,TrafficSource,SessionDuration,DeviceCategory,Device,OS,DeliveryRating,ProductRating,Sales
9691,Female,1/01/2019,26088332,32,3,91.37,274.11,Completed,India,Social Media,6.54,Computer,Laptop,Windows,2,5,274.11
8327,Female,1/01/2019,95183269,34,1,48.24,48.24,In Process,India,Social Media,5.01,Computer,Desktop,Windows,0,0,0
6801,Male,1/01/2019,44769684,64,2,35.23,70.46,Completed,United States,Paid Advertisment,0.1,Computer,Desktop,Windows,1,2,70.46
4406,Male,1/02/2019,12422351,41,2,32.33,64.66,Completed,Philippines,Social Media,1.95,Mobile,Tablet,Windows,4,4,64.66
1966,Male,1/03/2019,84352310,20,1,81.89,81.89,Completed,Brazil,Organic Search,9.15,Computer,Laptop,Windows,5,3,81.89
6148,Male,1/03/2019,53293645,10,3,19.34,58.02,Completed,Egypt,Organic Search,7.89,Computer,Desktop,Windows,4,5,58.02
4183,Male,1/04/2019,22473410,46,2,9.88,19.76,Completed,Turkey,Organic Search,1.6,Computer,Laptop,Windows,4,5,19.76
5979,Male,1/05/2019,45762453,79,2,33.28,66.56,In Process,Japan,Organic Search,0.11,Computer,Laptop,Windows,0,0,0
7656,Male,1/05/2019,72918460,91,3,67.48,202.44,Completed,United States,Paid Advertisment,8.28,Mobile,Smart Phone,Windows,5,4,202.44
9953,Male,1/06/2019,84161141,61,2,70.34,140.68,In Process,Japan,Social Media,1.61,Computer,Laptop,Windows,0,0,0
1817,Female,1/07/2019,81218452,31,3,43.5,130.5,Completed,China,Social Media,3.53,Computer,Laptop,Windows,3,5,130.5
6653,Male,1/07/2019,85161028,33,2,28.56,57.12,Returned,United Kingdom,Paid Advertisment,4.19,Computer,Laptop,Linux,0,0,0
5162,Male,1/08/2019,32023373,57,1,13.08,13.08,Completed,South Korea,Organic Search,6.6,Computer,Desktop,Windows,5,5,13.08
4825,Female,1/09/2019,75330542,97,1,56.74,56.74,Completed,Japan,Organic Search,4.92,Computer,Laptop,Windows,5,5,56.74
1166,Male,1/09/2019,29669465,22,2,41.48,82.96,Completed,Japan,Paid Advertisment,8.14,Computer,Desktop,Windows,4,5,82.96
8000,Female,1/10/2019,68975681,84,3,32.88,98.64,In Process,Brazil,Social Media,5.78,Computer,Desktop,Windows,0,0,0
1712,Male,1/10/2019,14535740,9,1,73.83,73.83,Completed,United Kingdom,Paid Advertisment,3.47,Computer,Desktop,Windows,5,4,73.83
6399,Male,1/11/2019,29415165,39,3,41.61,124.83,Completed,Russia,Organic Search,8.45,Computer,Laptop,Windows,4,5,124.83
6379,Male,1/11/2019,97024423,30,2,6.08,12.16,Cancelled,Turkey,Social Media,8.25,Computer,Desktop,Mac,0,0,0
3256,Female,1/11/2019,73294466,43,2,30.66,61.32,Completed,Japan,Social Media,8.17,Computer,Desktop,Windows,5,3,61.32
7692,Male,1/12/2019,98393960,29,1,1.91,1.91,Completed,China,Organic Search,2.56,Mobile,Smart Phone,Android,5,4,1.91
3440,Male,1/13/2019,33590014,15,1,6.32,6.32,Completed,United Kingdom,Paid Advertisment,0.6,Computer,Desktop,Windows,4,5,6.32
5330,Female,1/13/2019,96617596,56,3,87.34,262.02,Completed,Australia,Paid Advertisment,3.21,Mobile,Smart Phone,Windows,5,4,262.02
5663,Female,1/13/2019,64683713,54,1,90.78,90.78,Completed,Saudi Arabia,Paid Advertisment,0.79,Computer,Desktop,Windows,5,5,90.78
1385,Male,1/13/2019,46115974,96,3,36.96,110.88,Completed,Japan,Paid Advertisment,6.04,Mobile,Smart Phone,Android,3,2,110.88
9551,Male,1/14/2019,27274542,61,1,70.34,70.34,Returned,France,Organic Search,1.88,Computer,Laptop,Windows,0,0,0
8724,Female,1/14/2019,23525893,24,2,99.58,199.16,Completed,United States,Social Media,0.3,Computer,Laptop,Windows,5,4,199.16
5213,Female,1/15/2019,63003930,12,3,86.11,258.33,Completed,Taiwan,Social Media,8.71,Computer,Laptop,Windows,5,4,258.33
3313,Male,1/16/2019,41087733,90,2,21.51,43.02,Completed,India,Paid Advertisment,3.59,Computer,Desktop,Mac,5,4,43.02
4243,Female,1/17/2019,78577841,84,1,32.88,32.88,In Process,United States,Paid Advertisment,8.09,Computer,Desktop,Windows,0,0,0
1356,Male,1/17/2019,89821265,40,3,89.85,269.55,Completed,Saudi Arabia,Organic Search,8.73,Computer,Laptop,Linux,4,4,269.55
3543,Female,1/18/2019,20166192,24,3,99.58,298.74,In Process,United States,Paid Advertisment,4.21,Computer,Laptop,Windows,0,0,0
5301,Female,1/18/2019,33956582,60,1,91.28,91.28,Completed,Saudi Arabia,Paid Advertisment,1.71,Computer,Desktop,Windows,4,5,91.28
1847,Female,1/19/2019,85343805,49,3,99.72,299.16,Completed,Indonesia,Social Media,5.43,Computer,Laptop,Windows,5,4,299.16
8180,Male,1/19/2019,89023504,19,3,13.2,39.6,Completed,South Korea,Organic Search,2.69,Computer,Desktop,Windows,3,1,39.6
2050,Male,1/20/2019,31556200,69,2,96.47,192.94,Cancelled,South Korea,Organic Search,5.42,Mobile,Tablet,Windows,0,0,0
6670,Male,1/20/2019,35445083,9,3,73.83,221.49,Completed,Argentina,Social Media,3.22,Mobile,Smart Phone,Windows,5,4,221.49
1919,Female,1/21/2019,50539359,23,3,95.72,287.16,Completed,Italy,Social Media,7.98,Computer,Desktop,Mac,5,3,287.16
1972,Male,1/21/2019,24547944,17,2,18.86,37.72,In Process,Russia,Organic Search,6.54,Computer,Desktop,Mac,0,0,0
2396,Female,1/22/2019,71200221,10,1,19.34,19.34,Completed,Japan,Organic Search,4.28,Computer,Desktop,Mac,4,5,19.34
